"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
47776446,1,"Dienstag",10,"January",33783,26,133,92,2733,1,26,85,"F","Major",55,42,53,22,3,21.3045460725362
57289368,1,"Sonntag",11,"January",26694,13,65,82,3425,4,13,180,"D#","Major",33,38,71,28,5,21.333229550349
9194937,1,"Mittwoch",1e-04,"April",356,16,35,102,8,1,117,166,"C#","Major",57,84,94,37,9,18.7823595725522
104681090,1,"Freitag",7,"November",6518,17,45,85,238,1,47,160,"G#","Major",71,40,50,16,22,20.3444560199681
106608279,1,"Mittwoch",9,"January",21335,13,328,70,1378,9,20,160,"G","Major",65,95,80,41,16,20.8310783297498
47776446,1,"Dienstag",10,"January",23389,29,54,70,1089,2,1,92,"D","Major",70,81,63,8,4,20.9601808054955
14133169,1,"Samstag",1,"March",3202,18,148,80,226,24,1e-04,170,"Keine Angabe","Major",56,53,64,45,6,20.403483992776
74886858,1,"Freitag",6,"January",32181,10,33,1e-04,6808,7,1e-04,96,"C#","Minor",83,93,65,9,8,21.9937407024653
37806901,1,"Montag",9,"November",7124,18,60,20,2,1e-04,2,120,"G#","Major",67,40,52,12,4,20.8464484375677
20403634,2,"Freitag",1e-04,"January",592,14,11,84,6,1,30,98,"Keine Angabe","Major",70,37,54,9,8,19.5435632600838
24685031,1,"Montag",31,"September",36724,7,146,72,6807,5,80,92,"G","Major",53,12,34,12,4,20.9633005208744
37679071,1,"Freitag",4,"October",794,10,38,25,61,1e-04,263,150,"A","Major",34,24,56,11,3,19.3985658371759
19302170,1,"Dienstag",6,"March",13091,17,61,96,790,2,116,94,"F","Major",37,17,47,11,3,20.5509930623968
12913655,1,"Freitag",1e-04,"May",67,8,7,10,1e-04,1e-04,57,90,"E","Minor",74,36,63,27,5,17.685802364004
28630629,1,"Samstag",7,"August",21574,30,112,68,266,1,39,160,"A","Major",54,54,55,42,11,20.5080868218422
58433542,1,"Freitag",4,"August",19664,16,391,73,633,3,37,120,"Keine Angabe","Major",70,59,75,9,4,21.4804838411655
63903238,1,"Freitag",13,"January",21106,13,82,1e-04,2946,1e-04,1e-04,109,"F","Major",63,46,85,9,5,21.218831620134
28514961,1,"Freitag",10,"September",23804,31,187,99,4623,1,1e-04,129,"E","Minor",57,41,66,12,5,21.4818066944564
31399884,2,"Freitag",1,"December",849,22,27,129,21,7,111,157,"G","Major",54,75,60,7,5,19.7217338005796
106608279,1,"Freitag",2,"April",2619,12,47,90,1,1e-04,7,130,"F#","Major",63,49,73,9,3,19.6745331616395
83335265,1,"Freitag",1,"May",9037,42,124,133,139,14,166,107,"F","Minor",65,19,72,13,25,20.957793016996
106608279,1,"Freitag",1e-04,"July",86,11,3,33,3,1e-04,1,146,"B","Minor",50,67,89,19,8,17.2280831953858
20444662,1,"Montag",3,"February",1788,14,1,50,19,1e-04,19,139,"A","Minor",48,37,41,10,10,19.8197353754341
28383689,1,"Montag",55,"July",15890,14,71,37,653,1e-04,167,116,"Keine Angabe","Major",74,76,70,13,3,20.8593057402505
21279754,1,"Dienstag",13,"July",492,36,4,3,19,1e-04,1e-04,95,"F#","Minor",84,52,77,7,4,20.1082906048191
31261451.5,4,"Donnerstag",1e-04,"June",773,33,20,46,21,8,99,170,"G#","Minor",62,55,80,37,7,17.8640334082997
23173906,1,"Montag",1,"December",1154,22,28,125,11,1,51,134,"F#","Minor",81,18,64,10,11,19.8009119084892
17087222,1,"Freitag",39,"October",44927,17,34,1e-04,5108,6,1e-04,84,"F#","Minor",57,86,90,9,5,21.1147098107528
36137806.25,4,"Freitag",1e-04,"June",551,4,13,46,20,1,10,146,"B","Minor",61,20,48,12,6,18.2788133546786
16897767.2,5,"Montag",1e-04,"May",577,14,22,18,15,1,1e-04,74,"A#","Minor",53,24,67,10,28,18.7115108087727
61969611,1,"Donnerstag",1e-04,"May",955,29,37,50,79,11,31,144,"B","Major",75,35,48,10,12,18.6287031528598
30820168,3,"Donnerstag",1,"November",995,19,12,117,9,5,3,136,"B","Minor",77,79,73,27,10,19.9544570798604
20686495,3,"Montag",1e-04,"May",178,6,6,71,1,1e-04,31,100,"E","Major",56,53,55,12,4,17.9826878986738
8517642,1,"Freitag",1e-04,"June",290,19,9,101,5,1e-04,73,105,"F","Minor",89,67,78,7,33,17.9975003323711
106608279,1,"Freitag",1e-04,"May",547,1e-04,15,15,6,1e-04,1e-04,106,"F","Major",67,24,78,30,4,18.0440503361814
39980447,2,"Donnerstag",1e-04,"March",681,10,15,92,21,2,26,132,"D","Major",85,53,68,9,4,18.899774123462
35269758.5,2,"Freitag",1e-04,"June",332,5,18,41,5,1e-04,19,120,"A","Major",78,5,30,13,5,18.0655328477682
6915919,2,"Freitag",1e-04,"March",1197,13,44,34,25,1,171,155,"C#","Major",82,51,39,9,49,18.5473970565842
13888529.5,2,"Samstag",1e-04,"May",262,5,8,60,4,1,109,129,"G#","Major",70,42,43,11,3,18.3145769854914
4079690.5,2,"Donnerstag",1,"September",161,6,10,79,2,1e-04,42,135,"F","Minor",80,85,74,8,9,18.0782909792466
