"listeners_cum_sqrt","artist_count","released_weekday","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists_boxcox","in_apple_charts_boxcox","in_deezer_playlists_boxcox","in_deezer_charts","in_shazam_charts_log","bpm_sqrt","key","mode","danceability_._boxcox","valence_.","energy_.","acousticness_._boxcox","acousticness_.","liveness_._log","speechiness_._boxcox","streams"
4428.52020995727,"4","Mittwoch","January",6.63200177739563,3,6.0947570824873,-3.1230142185066,2.82088853986815,1e-04,-9.21034037197618,13.0384048104053,"F","Minor",389.774679049235,61,44,8.43362073943278,40,3.61091791264422,1.13415348204518,19.2833195283182
3270.45317960676,"1","Sonntag","January",7.6182510978767,1e-04,6.82246111633194,10.7526345706633,8.17814746466527,1e-04,0.693147180559945,9.38083151964686,"D","Minor",278.710418212454,58,55,7.86495035780315,35,3.13549421592915,1.70980100924724,18.5051054366903
5561.31555179767,"3","Mittwoch","October",6.71417052990947,1e-04,2.88688661024538,2.88688661024538,2.31144413344916,2,-9.21034037197618,8.77496438739212,"G","Major",415.141515605453,54,74,6.26256279129322,23,3.71357206670431,2.03208437615447,20.9249660332906
3561.95515131788,"8","Donnerstag","August",7.35244110024358,1e-04,8.6914841771195,-3.1230142185066,-6.01892829446503,1e-04,-9.21034037197618,9.16515138991168,"G","Minor",278.710418212454,61,76,3.77971607877395,10,2.63905732961526,1.70980100924724,19.2241159828664
3222.70455776925,"3","Freitag","July",5.605802066296,4,2.64263320840332,4.97558582846753,0.717734625362931,1e-04,-9.21034037197618,9.74679434480896,"F","Minor",512.581811168387,49,72,3.24349177498518,8,2.70805020110221,1.54704422910618,19.6069926008078
2698.76326614,"7","Freitag","January",6.94119005506837,1,4.72981827162529,2.06885532230921,2.82088853986815,1e-04,-9.21034037197618,13.1909059582729,"F","Minor",364.945757143636,74,75,8.85850253431245,44,1.94591014905531,2.13178189165221,19.3184007707625
5362.22416540003,"1","Dienstag","September",9.16051967699223,1e-04,7.11008077908888,5.62625126507429,10.3146533094061,1e-04,3.76120011569356,10.295630140987,"G#","Major",193.908654367517,8,20,11.484041256254,74,2.39789527279837,0.935923022250452,19.7253497302248
3129.65365495928,"1","Donnerstag","March",5.29831736654804,2,3.6914529978149,1.71905522170133,-6.01892829446503,1e-04,-9.21034037197618,8.48528137423857,"F#","Major",340.666666666667,76,44,11.1766339918896,70,2.484906649788,1.13415348204518,19.1271264458948
1174.33953068665,"6","Freitag","February",6.82219739062049,1e-04,6.26779822042479,6.67122975914856,4.05115826483646,1e-04,-9.21034037197618,10.2469507659596,"A","Minor",578.056448859614,73,72,4.47456858972271,13,2.19722457733622,1.85404998856108,18.610037139806
5014.21394637285,"2","Freitag","May",7.54433210805369,1e-04,1.30129723438636,-3.1230142185066,0.717734625362931,1e-04,-9.21034037197618,11.8321595661992,"G#","Minor",228,50,37,12.4192746752719,87,2.39789527279837,2.18608263169073,17.3235110342667
1221.16583640388,"1","Dienstag","February",7.19218205871325,1e-04,6.89614607365233,7.50967516382152,4.14213562373095,1e-04,-9.21034037197618,8.94427190999916,"B","Major",214.143844145899,33,83,5.44417880786609,18,2.30258509299405,1.2765537909333,17.8170560083437
7083.72917325331,"1","Sonntag","May",7.98582466641892,1e-04,5.8203976445416,-3.1230142185066,4.05115826483646,1e-04,-9.21034037197618,9.89949493661167,"G#","Minor",441.035092945455,79,81,5.44417880786609,18,1.79175946922805,2.1760623336706,18.0841350406325
2187.1527152899,"1","Freitag","May",5.39362754635236,4,4.32465569998023,2.06885532230921,-6.01892829446503,1e-04,1.79175946922805,11.4017542509914,"Keine Angabe","Major",228,14,40,12.0702012214344,82,2.39789527279837,0.935923022250452,19.0348260041983
3759.41072510041,"1","Samstag","March",7.50549227473742,1e-04,1.30129723438636,-3.1230142185066,5.13331440538913,1e-04,5.8664680569333,13.0384048104053,"Keine Angabe","Major",278.710418212454,52,64,4.02374658819718,11,3.80666248977032,1.47403391565585,20.382698459671
6436.94193697597,"4","Freitag","July",8.04334217044161,1e-04,7.69720919088737,2.37256619803235,6.19355380137765,1,-9.21034037197618,11.2249721603218,"A","Major",485.333333333333,90,73,6.97988832319866,28,3.36729582998647,1.13415348204518,18.6315340385208
